neuronsPerLayer,hiddenLayers,gen,score,count
1,1,60,58.0,1
1,1,61,35.0,1
1,1,61,40.0,1
1,1,61,42.0,1
1,1,61,44.0,1
1,1,61,45.0,2
1,1,61,46.0,2
1,1,61,47.0,2
1,1,61,49.0,2
1,1,61,51.0,3
1,1,61,53.0,2
1,1,61,54.0,3
1,1,61,56.0,3
1,1,61,58.0,1
1,1,61,61.0,1
1,1,62,35.0,1
1,1,62,40.0,1
1,1,62,44.0,2
1,1,62,45.0,1
1,1,62,46.0,3
1,1,62,47.0,1
1,1,62,48.0,4
1,1,62,49.0,2
1,1,62,51.0,1
1,1,62,52.0,3
1,1,62,53.0,1
1,1,62,54.0,1
1,1,62,56.0,1
1,1,62,58.0,1
1,1,62,59.0,2
1,1,63,40.0,1
1,1,63,41.0,1
1,1,63,42.0,2
1,1,63,43.0,1
1,1,63,44.0,4
1,1,63,46.0,2
1,1,63,47.0,2
1,1,63,48.0,2
1,1,63,49.0,1
1,1,63,50.0,1
1,1,63,51.0,2
1,1,63,53.0,2
1,1,63,54.0,1
1,1,63,56.0,1
1,1,63,60.0,1
1,1,63,61.0,1
1,1,64,38.0,1
1,1,64,41.0,1
1,1,64,42.0,1
1,1,64,44.0,3
1,1,64,46.0,2
1,1,64,47.0,1
1,1,64,49.0,2
1,1,64,50.0,3
1,1,64,51.0,1
1,1,64,53.0,2
1,1,64,54.0,1
1,1,64,55.0,1
1,1,64,56.0,3
1,1,64,57.0,3
1,1,65,32.0,1
1,1,65,39.0,2
1,1,65,40.0,1
1,1,65,42.0,3
1,1,65,44.0,1
1,1,65,45.0,2
1,1,65,46.0,1
1,1,65,47.0,1
1,1,65,48.0,3
1,1,65,49.0,1
1,1,65,50.0,2
1,1,65,51.0,4
1,1,65,54.0,2
1,1,65,57.0,1
1,1,66,34.0,1
1,1,66,37.0,1
1,1,66,41.0,1
1,1,66,42.0,1
1,1,66,43.0,2
1,1,66,44.0,1
1,1,66,45.0,4
1,1,66,46.0,1
1,1,66,47.0,1
1,1,66,48.0,1
1,1,66,49.0,2
1,1,66,50.0,1
1,1,66,51.0,2
1,1,66,52.0,3
1,1,66,56.0,1
1,1,66,58.0,1
1,1,66,68.0,1
1,1,67,36.0,1
1,1,67,38.0,1
1,1,67,39.0,1
1,1,67,40.0,1
1,1,67,41.0,3
1,1,67,42.0,1
1,1,67,45.0,2
1,1,67,46.0,1
1,1,67,47.0,1
1,1,67,49.0,1
1,1,67,50.0,2
1,1,67,51.0,2
1,1,67,52.0,2
1,1,67,53.0,1
1,1,67,54.0,3
1,1,67,58.0,1
1,1,67,60.0,1
1,1,68,36.0,1
1,1,68,38.0,1
1,1,68,40.0,1
1,1,68,42.0,1
1,1,68,43.0,1
1,1,68,44.0,3
1,1,68,45.0,1
1,1,68,46.0,4
1,1,68,47.0,1
1,1,68,48.0,2
1,1,68,49.0,1
1,1,68,51.0,1
1,1,68,53.0,1
1,1,68,55.0,2
1,1,68,58.0,1
1,1,68,59.0,1
1,1,68,61.0,1
1,1,68,68.0,1
1,1,69,42.0,1
1,1,69,43.0,2
1,1,69,44.0,2
1,1,69,48.0,1
1,1,69,49.0,2
1,1,69,50.0,3
1,1,69,51.0,2
1,1,69,52.0,1
1,1,69,53.0,2
1,1,69,55.0,1
1,1,69,56.0,3
1,1,69,57.0,2
1,1,69,59.0,2
1,1,69,60.0,1
1,1,70,43.0,1
1,1,70,45.0,2
1,1,70,46.0,3
